URL,ACTIVE,NEW_URL
https://www.ibm.com/support/knowledgecenter/SSMNED_5.0.0/com.ibm.apic.toolkit.doc/tapim_cli_install.html,YES,
https://www.ibm.com/support/knowledgecenter/SSMNED_5.0.0/com.ibm.apic.toolkit.doc/tutorial_cli_project_stage_command.html?cp=SSMNED_5.0.0%2F1-2-0-1-4&lang=en,YES,
https://www.ibm.com/systems/z/os/zos/features/zosmf/,YES,
https://www.mycompany.com:9443/jazz,NOT REACHABLE,
https://www.slideshare.net/JaredPutman1/ibm-datapower-gateways-devops-with-urbancode-deploy:,NO 404,
https://www.themebanks.com[udemy,INVALID,
https://www.urbancode.com/2015/09/18/continuous-integration-with-urbancode-deploy-and-ibm-business-process-server/:,NO 404,
https://www.urbancode.com/2017/02/15/integrating-artifactory-ibm-urbancode-deploy/,YES,
https://www.urbancode.com/2017/07/11/jenkins-pipeline-tutorial/,YES,
https://www.urbancode.com/2017/09/25/deploying-kubernetes-helm-charts/,YES,
https://www.urbancode.com/2018/05/21/auto-discovery-cloud-foundry/,YES,
https://www.urbancode.com/docs/creating-versions-without-a-build-or-ci-tool/:,NO 404,
https://www.urbancode.com/docs/using-update-xml-xpath-step/,YES,
https://www.urbancode.com/plugin/ibm-integration-bus-formerly-websphere-message-broker-cmp/,YES,
https://www.urbancode.com/plugin/openshift/,YES,
https://www.urbancode.com/plugin/oracle-sqlplus-ibmucd-2/,NO 404,
https://www.urbancode.com/plugin/z-os-ftp-utility/,YES,
https://www.urbancode.com/plugin/z-os-utility-generate-artifact-information/,YES,
https://www.urbancode.com/plugindoc/ibm-integration-bus-formerly-websphere-message-broker-cmp/,YES,
https://www.urbancode.com/plugindoc/ibm-mq-zos-generate-mqsc-commands/s2/,NO 404,
https://www.urbancode.com/plugindoc/ibmucd/apache-http-server/2-641617/steps/,YES,
https://www.urbancode.com/plugindoc/ibmucd/jboss-application-server-plug/jboss-application-server-plug/steps/,YES,
https://www.urbancode.com/plugindoc/ibmucd/weblogic-application-server/3-489466/steps/,YES,
https://www.urbancode.com/plugindoc/ibmucr/servicenow/7-2/usage/create-and-updat,NO 404,
https://www.urbancode.com/plugindoc/rft-ucd-steps,NO 404,
https://www.urbancode.com/plugindoc/steps-2/,NO 404,
https://www.urbancode.com/plugindoc/steps-rtwec,NO 404,
https://www.urbancode.com/plugindoc/z-os-utility/,YES,
https://www.urbancode.com/plugindoc/zos-dataset-writer/picture2/,YES,
https://www.urbancode.com/resource/applying-and-removing-partial-configurations,YES,
https://www.urbancode.com/resource/auto-discovery-and-auto-configuration-in-plugins/,YES,
https://www.urbancode.com/resource/installing-plug-ins-in-,YES,
https://www.urbancode.com/resource/installing-plug-ins-in-urbancode-,YES,
https://www.urbancode.com/resource/installing-plug-ins-in-urbancode-products/,YES,
https://www.urbancode.com/resource/jenkins-integration-with-ibm-urbancode-deploy/,YES,
https://www.urbancode.com/resource/z-os-multi-generate-artifact-information,YES,
https://www.urbancode.com/uc-downloads/plugins/ibmucd/RFE-WebUI-UCD/RFT-WebUI-UCD-4.0.zip,NO 404,
https://www.youtube.com/watch?v=KG4tvMIeAww,YES,
https://www.youtube.com/watch?v=mY14Kn1R0EI,YES,
https://www.youtube.com/watch?v=Qrw8hz8Jv9c,YES,
https://www.youtube.com/watch?v=VaYQE5d96hY&feature=youtu.be,YES,
https://youtu.be/FJ5Ta2dSTm4,YES,
https://youtu.be/I6H3daJ6XSc,YES,
